"REF_DATE","GEO","PERCENTAGE","CURRENT_VALUE","PREVIOUS_VALUE"
"2011","Yukon, Northwest Territories and Nunavut","0.05","60","40"
"2011","Saskatchewan","0.26","2800","2510"
"2011","Quebec","0.59","47050","45940"
"2011","Prince Edward Island","0.21","300","280"
"2011","Ontario","0.56","74240","73260"
"2011","Nova Scotia","0.25","2360","2310"
"2011","Newfoundland and Labrador","0.26","1380","1270"
"2011","New-Brunswick","0.22","1650","1640"
"2011","Manitoba","0.24","2920","3120"
"2011","British-Columbia","0.40","18040","16690"
"2011","Alberta","0.38","14300","11600"
"2012","Yukon, Northwest Territories and Nunavut","0.03","40","60"
"2012","Saskatchewan","0.26","2830","2800"
"2012","Quebec","0.56","44890","47050"
"2012","Prince Edward Island","0.22","320","300"
"2012","Ontario","0.55","74140","74240"
"2012","Nova Scotia","0.24","2220","2360"
"2012","Newfoundland and Labrador","0.27","1420","1380"
"2012","New-Brunswick","0.19","1410","1650"
"2012","Manitoba","0.23","2910","2920"
"2012","British-Columbia","0.41","18630","18040"
"2012","Alberta","0.33","12810","14300"
"2013","Yukon, Northwest Territories and Nunavut","0.04","50","40"
"2013","Saskatchewan","0.29","3220","2830"
"2013","Quebec","0.55","44430","44890"
"2013","Prince Edward Island","0.19","270","320"
"2013","Ontario","0.54","73760","74140"
"2013","Nova Scotia","0.20","1920","2220"
"2013","Newfoundland and Labrador","0.26","1370","1420"
"2013","New-Brunswick","0.20","1480","1410"
"2013","Manitoba","0.24","3000","2910"
"2013","British-Columbia","0.41","18940","18630"
"2013","Alberta","0.41","14730","12810"
