"REF_DATE","GEO","PERCENTAGE","CURRENT_VALUE","PREVIOUS_VALUE"
"2011","Quebec","0.23","18810","16460"
"2011","Prince Edward Island","0.10","150","140"
"2011","Ontario","0.16","21300","23000"
"2011","Nova Scotia","0.09","810","770"
"2011","Newfoundland and Labrador","0.08","430","420"
"2011","New-Brunswick","0.09","690","580"
"2011","Manitoba","0.11","1350","1430"
"2011","British-Columbia","0.11","5010","4600"
"2011","Alberta","0.10","3860","3580"
"2012","Yukon, Northwest Territories and Nunavut","0.03","30","40"
"2012","Saskatchewan","0.11","1210","1270"
"2012","Quebec","0.20","16170","18810"
"2012","Prince Edward Island","0.11","160","150"
"2012","Ontario","0.14","19460","21300"
"2012","Nova Scotia","0.07","680","810"
"2012","Newfoundland and Labrador","0.08","410","430"
"2012","New-Brunswick","0.07","520","690"
"2012","Manitoba","0.11","1360","1350"
"2012","British-Columbia","0.10","4570","5010"
"2012","Alberta","0.08","3270","3860"
"2013","Yukon, Northwest Territories and Nunavut","0.03","40","30"
"2013","Saskatchewan","0.11","1190","1210"
"2013","Quebec","0.20","16120","16170"
"2013","Prince Edward Island","0.11","160","160"
"2013","Ontario","0.14","19540","19460"
"2013","Nova Scotia","0.08","740","680"
"2013","Newfoundland and Labrador","0.07","370","410"
"2013","New-Brunswick","0.07","500","520"
"2013","Manitoba","0.10","1300","1360"
"2013","British-Columbia","0.10","4800","4570"
"2013","Alberta","0.10","3890","3270"
