"REF_DATE","GEO","PERCENTAGE","CURRENT_VALUE","PREVIOUS_VALUE"
"2011","Yukon, Northwest Territories and Nunavut","0.07","70","30"
"2011","Saskatchewan","0.18","1890","1600"
"2011","Quebec","0.59","47650","46350"
"2011","Prince Edward Island","0.15","210","190"
"2011","Ontario","0.51","68120","68200"
"2011","Nova Scotia","0.13","1260","1160"
"2011","Newfoundland and Labrador","0.14","720","630"
"2011","New-Brunswick","0.16","1190","1100"
"2011","Manitoba","0.16","2020","2150"
"2011","British-Columbia","0.36","16400","14660"
"2011","Alberta","0.25","9390","8210"
"2012","Yukon, Northwest Territories and Nunavut","0.04","40","70"
"2012","Saskatchewan","0.15","1630","1890"
"2012","Quebec","0.55","44250","47650"
"2012","Prince Edward Island","0.17","240","210"
"2012","Ontario","0.48","64530","68120"
"2012","Nova Scotia","0.11","1020","1260"
"2012","Newfoundland and Labrador","0.13","660","720"
"2012","New-Brunswick","0.12","930","1190"
"2012","Manitoba","0.16","2000","2020"
"2012","British-Columbia","0.34","15560","16400"
"2012","Alberta","0.22","8600","9390"
"2013","Yukon, Northwest Territories and Nunavut","0.05","50","40"
"2013","Saskatchewan","0.14","1540","1630"
"2013","Quebec","0.53","43150","44250"
"2013","Prince Edward Island","0.15","220","240"
"2013","Ontario","0.47","63720","64530"
"2013","Nova Scotia","0.09","810","1020"
"2013","Newfoundland and Labrador","0.10","","660"
"2013","New-Brunswick","0.09","720","930"
"2013","Manitoba","0.15","1870","2000"
"2013","British-Columbia","0.34","16040","15560"
"2013","Alberta","0.25","10000","8600"
